,,"День
месяца","Среднесуточная
температура,
июль 2016 года","Минимальная
температура
в этот день
за 2014–2017гг.","Максимальная
температура
в этот день
за 2014–2017гг."
,07/01/16,1 июля,+17.75°C,+17.75°C,+23.67°C
,07/02/16,2 июля,+15.75°C,+15.75°C,+26.00°C
,07/03/16,3 июля,+17.75°C,+17.75°C,+29.00°C
,07/04/16,4 июля,+19.38°C,+19.38°C,+21.43°C
,07/05/16,5 июля,+19.62°C,+16.67°C,+22.75°C
,07/06/16,6 июля,+20.38°C,+15.50°C,+24.75°C
,07/07/16,7 июля,+20.88°C,+20.88°C,+27.00°C
,07/08/16,8 июля,+21.88°C,+21.88°C,+25.83°C
,07/09/16,9 июля,+22.12°C,+22.12°C,+25.20°C
,07/10/16,10 июля,+21.50°C,+21.50°C,+24.43°C
,07/11/16,11 июля,+21.12°C,+18.67°C,+25.25°C
,07/12/16,12 июля,+21.75°C,+15.00°C,+29.12°C
,07/13/16,13 июля,+22.00°C,+22.00°C,+25.50°C
,07/14/16,14 июля,+23.38°C,+21.29°C,+24.00°C
,07/15/16,15 июля,+20.62°C,+20.62°C,+22.50°C
,07/16/16,16 июля,+20.12°C,+16.43°C,+20.12°C
,07/17/16,17 июля,+19.50°C,+15.29°C,+22.50°C
,07/18/16,18 июля,+18.25°C,+18.25°C,+22.67°C
,07/19/16,19 июля,+17.38°C,+17.38°C,+27.00°C
,07/20/16,20 июля,+19.62°C,+19.62°C,+23.75°C
,07/21/16,21 июля,+20.38°C,+20.00°C,+28.25°C
,07/22/16,22 июля,+21.50°C,+20.33°C,+26.43°C
,07/23/16,23 июля,+22.00°C,+22.00°C,+23.00°C
,07/24/16,24 июля,+21.38°C,+21.38°C,+22.12°C
,07/25/16,25 июля,+20.38°C,+19.88°C,+23.00°C
,07/26/16,26 июля,+14.00°C,+14.00°C,+19.67°C
,07/27/16,27 июля,+17.25°C,+15.00°C,+21.33°C
,07/28/16,28 июля,+17.00°C,+14.00°C,+20.00°C
,07/29/16,29 июля,+18.75°C,+14.83°C,+19.67°C
,07/30/16,30 июля,+18.75°C,+16.57°C,+20.33°C
,07/31/16,31 июля,+17.00°C,+14.71°C,+20.00°C
,08/01/16,1 августа,+15.62°C,+15.62°C,+21.00°C
,08/02/16,2 августа,+14.38°C,+14.38°C,+20.00°C
,08/03/16,3 августа,+15.38°C,+15.38°C,+21.00°C
,08/04/16,4 августа,+17.75°C,+17.75°C,+22.00°C
,08/05/16,5 августа,+19.50°C,+17.29°C,+19.50°C
,08/06/16,6 августа,+20.50°C,+17.33°C,+21.50°C
,08/07/16,7 августа,+21.50°C,+17.33°C,+21.50°C
,08/08/16,8 августа,+15.88°C,+12.43°C,+18.57°C
,08/09/16,9 августа,+18.00°C,+15.00°C,+18.17°C
,08/10/16,10 августа,+17.25°C,+13.50°C,+20.00°C
,08/11/16,11 августа,+17.00°C,+16.25°C,+24.20°C
,08/12/16,12 августа,+17.62°C,+17.62°C,+22.00°C
,08/13/16,13 августа,+18.12°C,+18.12°C,+23.50°C
,08/14/16,14 августа,+17.88°C,+16.33°C,+19.71°C
,08/15/16,15 августа,+19.12°C,+15.00°C,+20.67°C
,08/16/16,16 августа,+19.75°C,+18.33°C,+20.00°C
,08/17/16,17 августа,+19.62°C,+17.50°C,+19.62°C
,08/18/16,18 августа,+17.75°C,+17.75°C,+19.25°C
,08/19/16,19 августа,+18.00°C,+18.00°C,+23.60°C
,08/20/16,20 августа,+6.67°C,+6.67°C,+23.00°C
,08/21/16,21 августа,+10.57°C,+10.57°C,+20.88°C
,08/22/16,22 августа,+13.25°C,+13.25°C,+18.50°C
,08/23/16,23 августа,+18.33°C,+15.50°C,+21.00°C
,08/24/16,24 августа,+16.83°C,+16.83°C,+23.71°C
,08/25/16,25 августа,+14.83°C,+14.50°C,+22.60°C
,08/26/16,26 августа,+19.43°C,+18.33°C,+20.75°C
,08/27/16,27 августа,+21.29°C,+10.60°C,+21.29°C
,08/28/16,28 августа,+18.33°C,+11.00°C,+18.33°C
,08/29/16,29 августа,+16.60°C,+11.40°C,+16.60°C
,08/30/16,30 августа,+13.83°C,+12.00°C,+18.67°C
,08/31/16,31 августа,+10.33°C,+10.33°C,+20.25°C
,09/01/16,1 сентября,+12.43°C,+12.43°C,+24.12°C
,09/02/16,2 сентября,+14.50°C,+12.20°C,+22.62°C
,09/03/16,3 сентября,+14.29°C,+12.29°C,+21.88°C
,09/04/16,4 сентября,+15.57°C,+13.50°C,+15.57°C
,09/05/16,5 сентября,+16.86°C,+9.00°C,+16.86°C
,09/06/16,6 сентября,+17.75°C,+9.62°C,+17.75°C
,09/07/16,7 сентября,+18.00°C,+12.50°C,+18.00°C
,09/08/16,8 сентября,+20.29°C,+12.33°C,+20.29°C
,09/09/16,9 сентября,+18.67°C,+12.25°C,+18.67°C
,09/10/16,10 сентября,+17.00°C,+10.00°C,+18.33°C
,09/11/16,11 сентября,+20.38°C,+8.33°C,+20.38°C
,09/12/16,12 сентября,+12.33°C,+6.60°C,+21.00°C
,09/13/16,13 сентября,+15.43°C,+7.75°C,+15.43°C
,09/14/16,14 сентября,+12.33°C,+7.67°C,+14.43°C
,09/15/16,15 сентября,+13.50°C,+6.67°C,+13.50°C
,09/16/16,16 сентября,+14.29°C,+5.75°C,+14.29°C
,09/17/16,17 сентября,+16.00°C,+6.33°C,+16.00°C
,09/18/16,18 сентября,+18.29°C,+4.50°C,+18.29°C
,09/19/16,19 сентября,+16.80°C,+6.25°C,+16.80°C
,09/20/16,20 сентября,+14.14°C,+6.43°C,+14.14°C
,09/21/16,21 сентября,+14.60°C,+7.80°C,+14.60°C
,09/22/16,22 сентября,+11.67°C,+7.00°C,+11.67°C
,09/23/16,23 сентября,+11.00°C,+7.00°C,+11.00°C
,09/24/16,24 сентября,+12.43°C,+4.33°C,+12.43°C
,09/25/16,25 сентября,+8.31°C,+4.50°C,+13.25°C
,09/26/16,26 сентября,+7.54°C,+5.40°C,+7.54°C
,09/27/16,27 сентября,+5.63°C,+4.33°C,+5.63°C
,09/28/16,28 сентября,+7.26°C,+2.33°C,+7.26°C
,09/29/16,29 сентября,+5.92°C,+5.92°C,+8.75°C
,09/30/16,30 сентября,+3.81°C,+3.81°C,+10.00°C
,10/01/16,1 октября,+3.74°C,+3.74°C,+13.33°C
,10/02/16,2 октября,+1.28°C,+1.28°C,+8.50°C
,10/03/16,3 октября,−0.14°C,−0.14°C,+12.75°C
,10/04/16,4 октября,+0.14°C,+0.14°C,+11.75°C
,10/05/16,5 октября,−2.25°C,−2.25°C,+7.62°C
,10/06/16,6 октября,+1.80°C,+1.80°C,+6.71°C
,10/07/16,7 октября,+1.50°C,+1.50°C,+9.43°C
,10/08/16,8 октября,−0.50°C,−0.50°C,+12.38°C
,10/09/16,9 октября,−0.62°C,−1.00°C,+17.25°C
,10/10/16,10 октября,−0.33°C,−0.33°C,+12.25°C
,10/11/16,11 октября,−0.67°C,−0.67°C,+10.00°C
,10/12/16,12 октября,−1.00°C,−1.00°C,+5.40°C
,10/13/16,13 октября,−1.29°C,−1.29°C,+5.88°C
,10/14/16,14 октября,−0.57°C,−0.57°C,+2.00°C
,10/15/16,15 октября,−0.50°C,−1.12°C,+8.67°C
,10/16/16,16 октября,−2.12°C,−2.12°C,+3.80°C
,10/17/16,17 октября,−3.67°C,−3.67°C,+2.50°C
,10/18/16,18 октября,−3.14°C,−4.80°C,+0.75°C
,10/19/16,19 октября,−2.57°C,−3.50°C,+4.71°C
,10/20/16,20 октября,−2.17°C,−2.17°C,+5.75°C
,10/21/16,21 октября,−2.00°C,−2.00°C,+7.38°C
,10/22/16,22 октября,−4.12°C,−4.12°C,+4.33°C
,10/23/16,23 октября,−5.50°C,−5.50°C,+4.50°C
,10/24/16,24 октября,−4.43°C,−4.43°C,+4.25°C
,10/25/16,25 октября,−6.62°C,−6.62°C,+7.75°C
,10/26/16,26 октября,−3.88°C,−3.88°C,+2.00°C
,10/27/16,27 октября,−1.12°C,−7.50°C,+1.29°C
,10/28/16,28 октября,−2.12°C,−6.75°C,+0.83°C
,10/29/16,29 октября,−5.12°C,−5.12°C,+2.29°C
,10/30/16,30 октября,−6.43°C,−6.43°C,+6.57°C
,10/31/16,31 октября,−0.86°C,−0.86°C,+4.25°C
,11/01/16,1 ноября,+1.29°C,−0.83°C,+3.67°C
,11/02/16,2 ноября,+0.17°C,−4.00°C,+4.25°C
,11/03/16,3 ноября,−6.86°C,−6.86°C,+2.25°C
,11/04/16,4 ноября,−11.12°C,−11.12°C,+3.00°C
,11/05/16,5 ноября,−9.50°C,−9.50°C,+0.83°C
,11/06/16,6 ноября,−5.38°C,−5.38°C,+3.75°C
,11/07/16,7 ноября,−2.71°C,−2.71°C,+5.57°C
,11/08/16,8 ноября,−7.25°C,−7.25°C,+2.00°C
,11/09/16,9 ноября,−6.12°C,−6.12°C,−1.67°C
,11/10/16,10 ноября,−15.00°C,−15.00°C,−5.40°C
,11/11/16,11 ноября,−12.43°C,−12.43°C,−8.80°C
,11/12/16,12 ноября,−15.57°C,−15.57°C,−4.25°C
,11/13/16,13 ноября,−21.38°C,−21.38°C,−4.75°C
,11/14/16,14 ноября,−17.57°C,−17.57°C,+1.00°C
,11/15/16,15 ноября,−23.25°C,−23.25°C,−2.33°C
,11/16/16,16 ноября,−27.33°C,−27.33°C,−5.67°C
,11/17/16,17 ноября,−26.38°C,−26.38°C,−7.50°C
,11/18/16,18 ноября,−28.00°C,−28.00°C,−15.50°C
,11/19/16,19 ноября,−27.62°C,−27.62°C,−10.25°C
,11/20/16,20 ноября,−27.25°C,−27.25°C,−6.00°C
,11/21/16,21 ноября,−23.14°C,−23.14°C,−5.43°C
,11/22/16,22 ноября,−17.25°C,−18.00°C,−6.00°C
,11/23/16,23 ноября,−10.12°C,−19.00°C,−2.25°C
,11/24/16,24 ноября,−8.00°C,−17.17°C,−8.00°C
,11/25/16,25 ноября,−6.17°C,−21.38°C,+1.60°C
,11/26/16,26 ноября,−5.29°C,−9.75°C,−3.17°C
,11/27/16,27 ноября,−5.88°C,−11.00°C,−1.00°C
,11/28/16,28 ноября,−4.67°C,−28.25°C,−0.29°C
,11/29/16,29 ноября,−3.67°C,−27.12°C,−0.83°C
,11/30/16,30 ноября,−4.40°C,−18.88°C,0.00°C
,12/01/16,1 декабря,−5.14°C,−15.50°C,+0.25°C
,12/02/16,2 декабря,−16.57°C,−16.57°C,−3.75°C
,12/03/16,3 декабря,−21.25°C,−21.25°C,−5.40°C
,12/04/16,4 декабря,−7.67°C,−7.67°C,−4.25°C
,12/05/16,5 декабря,−11.50°C,−14.38°C,+0.83°C
,12/06/16,6 декабря,−9.67°C,−9.67°C,−2.14°C
,12/07/16,7 декабря,−10.75°C,−10.75°C,−3.80°C
,12/08/16,8 декабря,−9.75°C,−18.38°C,−0.43°C
,12/09/16,9 декабря,−9.20°C,−9.20°C,+3.20°C
,12/10/16,10 декабря,−17.60°C,−17.60°C,+0.80°C
,12/11/16,11 декабря,−11.33°C,−11.33°C,−4.20°C
,12/12/16,12 декабря,−3.75°C,−8.38°C,−2.20°C
,12/13/16,13 декабря,−6.50°C,−14.88°C,−0.33°C
,12/14/16,14 декабря,−6.50°C,−14.88°C,−0.33°C
,12/15/16,15 декабря,−4.67°C,−10.62°C,−4.67°C
,12/16/16,16 декабря,−13.80°C,−13.80°C,−7.67°C
,12/17/16,17 декабря,−18.60°C,−18.60°C,−2.33°C
,12/18/16,18 декабря,−18.14°C,−18.14°C,−2.83°C
,12/19/16,19 декабря,−14.40°C,−14.40°C,−5.00°C
,12/20/16,20 декабря,−9.67°C,−13.50°C,−9.67°C
,12/21/16,21 декабря,−7.50°C,−18.40°C,−7.50°C
,12/22/16,22 декабря,−17.00°C,−19.67°C,−1.75°C
,12/23/16,23 декабря,−12.00°C,−12.00°C,−2.00°C
,12/24/16,24 декабря,−10.57°C,−5.62°C,+2.00°C
,12/25/16,25 декабря,−8.38°C,+0.12°C,+2.00°C
,12/26/16,26 декабря,−5.88°C,+1.12°C,+2.50°C
,12/27/16,27 декабря,−5.88°C,+1.12°C,+2.50°C
,12/28/16,28 декабря,−5.88°C,+1.12°C,+2.50°C
,12/29/16,29 декабря,−5.88°C,+1.12°C,+2.50°C
,12/30/16,30 декабря,−5.88°C,+1.12°C,+2.50°C
,12/31/16,31 декабря,−5.88°C,+1.12°C,+2.50°C
,01/01/17,1 января,−6.00°C,−21.00°C,−2.25°C
,01/02/17,2 января,−5.00°C,−21.71°C,−5.00°C
,01/03/17,3 января,−5.00°C,−22.71°C,−5.00°C
,01/04/17,4 января,−2.00°C,−19.20°C,−2.00°C
,01/05/17,5 января,−2.62°C,−27.25°C,−2.62°C
,01/06/17,6 января,−17.38°C,−24.57°C,−2.88°C
,01/07/17,7 января,−15.38°C,−15.38°C,−0.12°C
,01/08/17,8 января,−7.38°C,−14.17°C,−1.33°C
,01/09/17,9 января,−16.25°C,−22.00°C,+2.12°C
,01/10/17,10 января,−21.00°C,−24.00°C,−9.17°C
,01/11/17,11 января,−12.88°C,−21.00°C,−5.38°C
,01/12/17,12 января,−16.25°C,−17.00°C,−8.50°C
,01/13/17,13 января,−22.12°C,−22.12°C,−4.00°C
,01/14/17,14 января,−18.50°C,−18.50°C,−5.88°C
,01/15/17,15 января,−25.00°C,−25.00°C,−2.00°C
,01/16/17,16 января,−21.62°C,−21.62°C,−1.71°C
,01/17/17,17 января,−18.88°C,−23.00°C,−1.38°C
,01/18/17,18 января,−19.38°C,−21.25°C,−4.62°C
,01/19/17,19 января,−20.00°C,−24.67°C,−5.71°C
,01/20/17,20 января,−11.12°C,−30.00°C,−2.00°C
,01/21/17,21 января,−6.75°C,−24.67°C,−4.88°C
,01/22/17,22 января,−9.00°C,−19.00°C,−9.00°C
,01/23/17,23 января,−4.88°C,−19.00°C,−4.88°C
,01/24/17,24 января,−10.88°C,−29.88°C,−10.88°C
,01/25/17,25 января,−9.62°C,−29.50°C,−9.62°C
,01/26/17,26 января,−22.25°C,−29.40°C,−16.00°C
,01/27/17,27 января,−25.12°C,−25.12°C,−16.00°C
,01/28/17,28 января,−24.12°C,−24.12°C,−14.40°C
,01/29/17,29 января,−22.50°C,−22.50°C,−10.50°C
,01/30/17,30 января,−19.00°C,−28.00°C,−13.62°C
,01/31/17,31 января,−16.75°C,−27.67°C,−9.20°C
